SR NO,INDEX,Company Name,Symbol,INDUSTRY,ISIN Code
1,NIFTY 50,Adani Enterprises Ltd.,ADANIENT,Trading,INE423A01024
2,NIFTY 50,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,INE742F01042
3,NIFTY 50,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Hospital & Healthcare Services,INE437A01024
4,NIFTY 50,Asian Paints Ltd.,ASIANPAINT,Paints,INE021A01026
5,NIFTY 50,Axis Bank Ltd.,AXISBANK,NIFTY PRIVATE BANK,INE238A01034
6,NIFTY 50,Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile Two & Three Wheelers,INE917I01010
7,NIFTY 50,Bajaj Finance Ltd.,BAJFINANCE,Finance - NBFC,INE296A01032
8,NIFTY 50,Bajaj Finserv Ltd.,BAJAJFINSV,Finance - Investment,INE918I01026
9,NIFTY 50,Bharat Electronics Ltd.,BEL,Defence,INE263A01024
10,NIFTY 50,Bharti Airtel Ltd.,BHARTIARTL,Telecommunication - Service  Provider,INE397D01024
11,NIFTY 50,Cipla Ltd.,CIPLA,Pharmaceuticals & Drugs,INE059A01026
12,NIFTY 50,Coal India Ltd.,COALINDIA,Mining & Minerals,INE522F01014
13,NIFTY 50,Dr. Reddy's Laboratories Ltd.,DRREDDY,Pharmaceuticals & Drugs,INE089A01031
14,NIFTY 50,Eicher Motors Ltd.,EICHERMOT,Automobile Two & Three Wheelers,INE066A01021
15,NIFTY 50,Eternal Ltd.,ETERNAL,e-Commerce,INE758T01015
16,NIFTY 50,Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,INE047A01021
17,NIFTY 50,HCL Technologies Ltd.,HCLTECH,IT - Software,INE860A01027
18,NIFTY 50,HDFC Bank Ltd.,HDFCBANK,NIFTY PRIVATE BANK,INE040A01034
19,NIFTY 50,HDFC Life Insurance Company Ltd.,HDFCLIFE,Insurance,INE795G01014
20,NIFTY 50,Hindalco Industries Ltd.,HINDALCO,Metal - Non Ferrous,INE038A01020
21,NIFTY 50,Hindustan Unilever Ltd.,HINDUNILVR,Household & Personal Products,INE030A01027
22,NIFTY 50,ICICI Bank Ltd.,ICICIBANK,NIFTY PRIVATE BANK,INE090A01021
23,NIFTY 50,ITC Ltd.,ITC,Cigarettes/Tobacco,INE154A01025
24,NIFTY 50,Infosys Ltd.,INFY,IT - Software,INE009A01021
25,NIFTY 50,InterGlobe Aviation Ltd.,INDIGO,Airlines,INE646L01027
26,NIFTY 50,JSW Steel Ltd.,JSWSTEEL,Steel & Iron Products,INE019A01038
27,NIFTY 50,Jio Financial Services Ltd.,JIOFIN,Finance - NBFC,INE758E01017
28,NIFTY 50,Kotak Mahindra Bank Ltd.,KOTAKBANK,NIFTY PRIVATE BANK,INE237A01036
29,NIFTY 50,Larsen & Toubro Ltd.,LT,Engineering - Construction,INE018A01030
30,NIFTY 50,Mahindra & Mahindra Ltd.,M&M,Automobiles - Passenger Cars,INE101A01026
31,NIFTY 50,Maruti Suzuki India Ltd.,MARUTI,Automobiles - Passenger Cars,INE585B01010
32,NIFTY 50,Max Healthcare Institute Ltd.,MAXHEALTH,Hospital & Healthcare Services,INE027H01010
33,NIFTY 50,NTPC Ltd.,NTPC,Power Generation/Distribution,INE733E01010
34,NIFTY 50,Nestle India Ltd.,NESTLEIND,Consumer Food,INE239A01024
35,NIFTY 50,Oil & Natural Gas Corporation Ltd.,ONGC,Oil Exploration,INE213A01029
36,NIFTY 50,Power Grid Corporation of India Ltd.,POWERGRID,Power Generation/Distribution,INE752E01010
37,NIFTY 50,Reliance Industries Ltd.,RELIANCE,Refineries,INE002A01018
38,NIFTY 50,SBI Life Insurance Company Ltd.,SBILIFE,Insurance,INE123W01016
39,NIFTY 50,Shriram Finance Ltd.,SHRIRAMFIN,Finance - NBFC,INE721A01047
40,NIFTY 50,State Bank of India,SBIN,NIFTY PRIVATE BANK,INE062A01020
41,NIFTY 50,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Pharmaceuticals & Drugs,INE044A01036
42,NIFTY 50,Tata Consultancy Services Ltd.,TCS,IT - Software,INE467B01029
43,NIFTY 50,Tata Consumer Products Ltd.,TATACONSUM,Tea/Coffee,INE192A01025
44,NIFTY 50,Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile Two & Three Wheelers,INE155A01022
45,NIFTY 50,Tata Steel Ltd.,TATASTEEL,Steel & Iron Products,INE081A01020
46,NIFTY 50,Tech Mahindra Ltd.,TECHM,IT - Software,INE669C01036
47,NIFTY 50,Titan Company Ltd.,TITAN,Diamond  &  Jewellery,INE280A01028
48,NIFTY 50,Trent Ltd.,TRENT,Retailing,INE849A01020
49,NIFTY 50,UltraTech Cement Ltd.,ULTRACEMCO,Cement & Construction Materials,INE481G01011
50,NIFTY 50,Wipro Ltd.,WIPRO,IT - Software,INE075A01022
51,NIFTY NXT 50,ABB India Ltd.,ABB,Electric Equipment,INE117A01022
