SR NO,Company Name,Symbol,SECTOR,INDUSTRY,ISIN Code
1,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
2,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
2,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
3,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
3,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
4,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
4,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
5,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
5,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
6,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
6,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
7,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
7,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
8,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
8,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
9,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
9,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
10,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
10,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
11,Bharat Forge Ltd.,BHARATFORG,NIFTY AUTO,Forgings,INE465A01025
11,Bosch Ltd.,BOSCHLTD,NIFTY AUTO,Auto Ancillary,INE323A01026
12,Eicher Motors Ltd.,EICHERMOT,NIFTY AUTO,Automobile Two & Three Wheelers,INE066A01021
12,Exide Industries Ltd.,EXIDEIND,NIFTY AUTO,Batteries,INE302A01020
13,Hero MotoCorp Ltd.,HEROMOTOCO,NIFTY AUTO,Automobile Two & Three Wheelers,INE158A01026
13,Hyundai Motor India Ltd.,HYUNDAI,NIFTY AUTO,Automobiles - Passenger Cars,INE0V6F01027
14,MRF Ltd.,MRF,NIFTY AUTO,Tyres & Allied,INE883A01011
14,Mahindra & Mahindra Ltd.,M&M,NIFTY AUTO,Automobiles - Passenger Cars,INE101A01026
15,Maruti Suzuki India Ltd.,MARUTI,NIFTY AUTO,Automobiles - Passenger Cars,INE585B01010
15,Samvardhana Motherson International Ltd.,MOTHERSON,NIFTY AUTO,Auto Ancillary,INE775A01035
16,TVS Motor Company Ltd.,TVSMOTOR,NIFTY AUTO,Automobile Two & Three Wheelers,INE494B01023
16,Tata Motors Passenger Vehicles Ltd.,TMPV,NIFTY AUTO,Automobile Two & Three Wheelers,INE155A01022
17,Tube Investments of India Ltd.,TIINDIA,NIFTY AUTO,Auto Ancillary,INE974X01010
17,Amara Raja Energy & Mobility Ltd.,ARE&M,NIFTY AUTO,Batteries,INE885A01032
18,Apollo Tyres Ltd.,APOLLOTYRE,NIFTY AUTO,Tyres & Allied,INE438A01022
18,Asahi India Glass Ltd.,ASAHIINDIA,NIFTY AUTO,Glass,INE439A01020
19,Ather Energy Ltd.,ATHERENERG,NIFTY AUTO,Automobile Two & Three Wheelers,INE0LEZ01016
19,Bajaj Auto Ltd.,BAJAJ-AUTO,NIFTY AUTO,Automobile Two & Three Wheelers,INE917I01010
20,Balkrishna Industries Ltd.,BALKRISIND,NIFTY AUTO,Tyres & Allied,INE787D01026
20,Belrise Industries Ltd.,BELRISE,NIFTY AUTO,Auto Ancillary,INE894V01022
